 #, Operadora, Simcard, IMEI, Mensalidade, Credito, Consumo 60 dias, Data Ativacao, IP, ICCID, Saldo, Consumo, Ultima Conexao, Status
30,Claro,'5518991833576,/ 355126076569870,4.3,0,20,16/4/2019,10.35.242.58,'89550534120023663957,1.817.188,1.83,5/8/2019 21:00,Ativo
31,Claro,'5518991831525,/ 8648930326908078,4.3,0,20,16/4/2019,10.35.211.219,'89550534120021373245,1.918.912,0.81,5/8/2019 21:02,Ativo
32,Claro,'5518991826085,/ 864893033451230,4.3,0,20,2/5/2019,10.35.37.153,'89550534120023663452,1.818.904,1.8,5/8/2019 15:43,Ativo
33,Claro,'5518991823918,/ 864893031327070,4.3,0,20,27/3/2019,10.33.60.151,'89550534120021302947,1.830.033,1.7,5/8/2019 21:12,Ativo
34,Claro,'5518991821004,/ 8648930317169678,4.3,0,20,19/3/2019,10.33.63.117,'89550534120021302459,1.914.914,0.85,2/8/2019 16:15,Ativo
35,Claro,'5518991818699,/ 8648930349378978,4.3,0,20,16/4/2019,10.35.77.167,'89550534120021373203,1.985.026,0.15,5/8/2019 20:22,Ativo
36,Claro,'5518991813801,/ 864893031312950,4.3,0,20,23/3/2019,10.33.63.107,'89550534120021302343,1.923.806,0.76,5/8/2019 09:08,Ativo
37,Claro,'5518991809794,/ 864893033452930,4.3,0,20,1/5/2019,10.35.201.50,'89550534120023663247,1.821.917,1.77,5/8/2019 15:45,Ativo
38,Claro,'5518991804764,/ 864893033452330,4.3,0,20,1/5/2019,10.35.192.82,'89550534120023663882,185.273,1.46,5/8/2019 14:04,Ativo
39,Claro,'5518991804591,/ 8648930334514778,4.3,0,20,6/5/2019,10.35.11.55,'89550534120023663551,170.475,2.95,5/8/2019 14:30,Ativo
40,Claro,'5518991798028,/ 8648930317174978,4.3,0,20,19/3/2019,10.33.63.118,'89550534120021302467,1.969.619,0.3,5/8/2019 15:38,Ativo
41,Claro,'5518991790773,/ 864893033453460,4.3,0,20,2/5/2019,10.35.2.229,'89550534120023663445,1.826.339,1.72,5/8/2019 15:46,Ativo
42,Claro,'5518991782142,/ 864893032688980,4.3,0,20,20/4/2019,10.35.129.149,'89550534120023663189,1.851.446,1.48,5/8/2019 17:58,Ativo
43,Claro,'5518991780797,/ 8648930334561778,4.3,0,20,10/5/2019,10.35.24.69,'89550534120023663361,1.945.129,0.55,5/8/2019 14:04,Ativo
44,Claro,'5518991777192,/ 8648930313345078,4.3,0,20,9/4/2019,10.33.37.143,'89550534120021345508,1.831.639,1.67,5/8/2019 17:01,Ativo
45,Claro,'5518991772934,/ 8648930326904278,4.3,0,20,1/5/2019,10.35.17.77,'89550534120023663866,1.728.191,2.71,5/8/2019 20:39,Ativo
46,Claro,'5518991768623,/ 864893031335400,4.3,0,20,27/3/2019,10.33.60.17,'89550534120021302723,20,0,13/7/2019 06:45,Ativo
47,Claro,'5518991764958,/ 864893033452870,4.3,0,20,3/5/2019,10.35.142.237,'89550534120023663254,1.776.589,2.23,5/8/2019 13:39,Ativo
48,Claro,'5518991763769,/ 864893031716870,4.3,0,20,19/3/2019,10.33.62.60,'89550534120021302525,1.869.749,1.29,5/8/2019 21:22,Ativo
49,Claro,'5518991760699,/ 864893031335050,4.3,0,20,8/4/2019,10.33.19.132,'89550534120021345904,1.825.357,1.74,5/8/2019 14:06,Ativo
50,Claro,'5518991757798,/ 864893032689820,4.3,0,20,23/4/2019,10.35.239.114,'89550534120023663643,1.829.617,1.69,5/8/2019 20:45,Ativo
51,Claro,'5518991754363,/ 8648930309454478,4.3,0,20,8/4/2019,10.33.53.215,'89550534120021345151,1.857.497,1.41,5/8/2019 14:04,Ativo
52,Claro,'5518991744888,/ 864893031327310,4.3,0,20,7/4/2019,10.33.50.179,'89550534120021345979,1.827.536,1.72,5/8/2019 14:04,Ativo
53,Claro,'5518991738794,/ 355126078383530,4.3,0,20,27/3/2019,10.33.63.14,'89550534120021302079,1.960.246,0.4,5/8/2019 13:35,Ativo
54,Claro,'5518991737135,/ 864893031327170,4.3,0,20,8/4/2019,10.33.59.156,'89550534120021345193,1.645.998,3.54,5/8/2019 14:04,Ativo
55,Claro,'5518991731951,/ 864893031334810,4.3,0,20,27/3/2019,10.33.63.148,'89550534120021302152,1.976.493,0.23,5/8/2019 20:59,Ativo
56,Claro,'5518991726079,/ 864893031327110,4.3,0,20,27/3/2019,10.33.60.199,'89550534120021302814,1.978.841,0.21,5/8/2019 20:09,Ativo
57,Claro,'5518991722395,/ 355371022291890,4.3,0,20,12/4/2019,10.33.53.209,'89550534120021345086,1.950.327,0.5,5/8/2019 15:04,Ativo
58,Claro,'5518991721540,/ 8648930326917078,4.3,0,20,24/4/2019,10.35.119.115,'89550534120023663080,1.759.331,2.4,5/8/2019 14:05,Ativo
59,Claro,'5518991718729,/ 864893033451260,4.3,0,20,2/5/2019,10.35.185.42,'89550534120023663411,1.729.644,2.7,5/8/2019 21:24,Ativo
60,Claro,'5518991718192,/ 864893031334410,4.3,0,20,7/4/2019,10.33.50.181,'89550534120021346001,1.861.575,1.38,5/8/2019 15:46,Ativo
61,Claro,'5518991717852,/ 8648930326899678,4.3,0,20,23/4/2019,10.35.235.250,'89550534120023663809,1.867.106,1.32,5/8/2019 14:36,Ativo
62,Claro,'5518991714179,/ 8648930334535878,4.3,0,20,23/4/2019,10.35.94.129,'89550534120023663692,1.848.323,1.51,5/8/2019 14:54,Ativo
63,Claro,'5518991704761,/ 864180034499880,4.3,0,20,6/4/2019,10.33.59.166,'89550534120021345235,1.778.043,2.21,5/8/2019 21:07,Ativo
64,Claro,'5518991699638,/ 864893032690020,4.3,0,20,19/4/2019,10.35.247.222,'89550534120023663320,1.844.191,1.55,5/8/2019 18:54,Ativo
65,Claro,'5518991692270,/ 864893032690040,4.3,0,20,23/4/2019,10.35.48.7,'89550534120023663684,1.837.371,1.62,5/8/2019 14:05,Ativo
66,Claro,'5518991687657,/ 864893033453260,4.3,0,20,2/5/2019,10.35.8.21,'89550534120023663304,1.830.325,1.69,5/8/2019 14:07,Ativo
67,Claro,'5518991681651,/ 3551260789447078,4.3,0,20,26/3/2019,10.33.63.108,'89550534120021302350,1.813.076,1.87,5/8/2019 21:00,Ativo
68,Claro,'5518991681527,/ 355126079065230,4.3,0,20,16/4/2019,10.33.58.172,'89550534120021345771,1.806.166,1.94,5/8/2019 21:01,Ativo
69,Claro,'5518991675523,/ 864893031327410,4.3,0,20,8/4/2019,10.33.53.218,'89550534120021345185,1.838.841,1.6,5/8/2019 14:05,Ativo
70,Claro,'5518991662025,/ 355126072943550,4.3,0,20,12/4/2019,10.33.59.2,'89550534120021345375,1.988.975,0.11,5/8/2019 09:46,Ativo
71,Claro,'5518991653612,/ 8648930313273478,4.3,0,20,8/4/2019,10.33.59.137,'89550534120021345896,1.912.925,0.87,5/8/2019 16:21,Ativo
72,Claro,'5518991650604,/ 864893033452900,4.3,0,20,2/5/2019,10.35.134.127,'89550534120023663288,1.881.892,1.18,5/8/2019 16:35,Ativo
73,Claro,'5518991650292,/ 864893032690030,4.3,0,20,20/4/2019,10.35.20.56,'89550534120023663197,1.887.724,1.12,5/8/2019 20:11,Ativo
74,Claro,'5518991644335,/ 864893030943730,4.3,0,20,27/3/2019,10.33.60.186,'89550534120021302707,1.853.954,1.45,5/8/2019 14:04,Ativo
75,Claro,'5518991641759,/ 864893031327210,4.3,0,20,27/3/2019,10.33.60.184,'89550534120021302681,1.783.694,2.16,5/8/2019 19:14,Ativo
76,Claro,'5518991640553,/ 355126079239140,4.3,0,20,16/4/2019,10.35.15.96,'89550534120023663619,1.815.486,1.84,5/8/2019 21:20,Ativo
77,Claro,'5518991639766,/ 864893032690180,4.3,0,20,19/4/2019,10.35.94.16,'89550534120023663726,1.808.699,1.9,5/8/2019 20:53,Ativo
78,Claro,'5518991637809,/ 355126071295380,4.3,0,20,25/3/2019,10.33.60.177,'89550534120021302608,1.803.729,1.96,5/8/2019 21:00,Ativo
79,Claro,'5518991632677,/ 355126072775480,4.3,0,20,15/4/2019,10.33.53.210,'89550534120021345102,1.971.075,0.29,5/8/2019 21:00,Ativo
80,Claro,'5518991632675,/ 8648930317592378,4.3,0,20,8/4/2019,10.33.59.130,'89550534120021345862,1.546.817,4.53,5/8/2019 17:05,Ativo
81,Claro,'5518991629281,/ 864893032690390,4.3,0,20,23/4/2019,10.35.202.184,'89550534120023663635,1.848.903,1.5,5/8/2019 21:19,Ativo
82,Claro,'5518991628607,/ 864893032689410,4.3,0,20,1/5/2019,10.35.205.203,'89550534120023663353,1.583.075,4.17,5/8/2019 18:30,Ativo
83,Claro,'5518991626782,/ 355126072819520,4.3,0,20,16/4/2019,10.33.57.8,'89550534120021345607,1.801.825,1.98,5/8/2019 21:00,Ativo
84,Claro,'5518991626679,/ 356430070769810,4.3,0,20,24/4/2019,10.35.33.185,'89550534120023663106,1.951.859,0.48,5/8/2019 07:47,Ativo
85,Claro,'5518991625706,/ 864893032688960,4.3,0,20,22/4/2019,10.35.55.147,'89550534120023663767,1.869.964,1.29,5/8/2019 15:44,Ativo
86,Claro,'5518991624981,/ 351835020856490,4.3,0,20,16/4/2019,10.33.37.146,'89550534120021345532,20,0,1/6/2019 07:51,Ativo
87,Claro,'5518991624854,/ 864893031335140,4.3,0,20,7/4/2019,10.33.53.214,'89550534120021345144,20,0,28/4/2019 08:15,Ativo
88,Claro,'5518991624695,/ 8648930334544278,4.3,0,20,1/5/2019,10.35.236.31,'89550534120023663890,1.875.454,1.24,5/8/2019 20:29,Ativo
89,Claro,'5518991624099,/ 8648930326896578,4.3,0,20,10/5/2019,10.35.5.153,'89550534120023663940,1.844.056,1.55,5/8/2019 18:20,Ativo
90,Claro,'5518991623736,/ 8648930309442478,4.3,0,20,7/4/2019,10.33.37.15,'89550534120021345573,1.844.317,1.55,5/8/2019 14:45,Ativo
91,Claro,'5518991622479,/ 864893032689590,4.3,0,20,19/4/2019,10.35.51.5,'89550534120023663973,1.919.759,0.8,5/8/2019 18:33,Ativo
92,Claro,'5518991622341,/ 864893031327140,4.3,0,20,8/4/2019,10.33.19.120,'89550534120021345854,1.864.508,1.34,5/8/2019 14:06,Ativo
93,Claro,'5518991622283,/ 864893031334730,4.3,0,20,8/4/2019,10.33.53.217,'89550534120021345177,1.836.763,1.63,5/8/2019 16:55,Ativo
94,Claro,'5518991621846,/ 864180033786470,4.3,0,20,6/4/2019,10.33.59.21,'89550534120021345417,1.704.377,2.94,5/8/2019 15:47,Ativo
95,Claro,'5518991621649,/ 355126078825880,4.3,0,20,12/4/2019,10.33.53.211,'89550534120021345110,1.837.941,1.62,5/8/2019 21:13,Ativo
96,Claro,'5518991621335,/ 356976004249180,4.3,0,20,16/4/2019,10.35.38.158,'89550534120023663429,1.954.092,0.46,5/8/2019 07:45,Ativo
97,Claro,'5518991621031,/ 864893031327260,4.3,0,20,27/3/2019,10.33.60.183,'89550534120021302673,1.900.121,0.99,5/8/2019 21:31,Ativo
98,Claro,'5518991620548,/ 8648930317592178,4.3,0,20,8/4/2019,10.33.59.163,'89550534120021345227,1.829.195,1.7,5/8/2019 17:32,Ativo
99,Claro,'5518991620542,/ 355126073920930,4.3,0,20,5/4/2019,10.33.59.197,'89550534120021345367,1.831.409,1.69,5/8/2019 21:00,Ativo
100,Claro,'5518991619365,/ 8648930326762178,4.3,0,20,16/4/2019,10.35.39.147,'89550534120021373195,1.884.002,1.15,5/8/2019 20:46,Ativo
101,Claro,'5518991614670,/ 8648930313271578,4.3,0,20,27/3/2019,10.33.60.195,'89550534120021302772,1.987.491,0.13,5/8/2019 17:03,Ativo
102,Claro,'5518991614430,/ 864893031335110,4.3,0,20,8/4/2019,10.33.59.217,'89550534120021345441,1.890.521,1.09,5/8/2019 18:48,Ativo
103,Claro,'5518991614316,/ 355126074974240,4.3,0,20,27/3/2019,10.33.62.98,'89550534120021302236,1.817.373,1.83,5/8/2019 21:06,Ativo
104,Claro,'5518991614175,/ 864893031327330,4.3,0,20,7/4/2019,10.33.59.168,'89550534120021345243,1.805.031,1.95,5/8/2019 20:27,Ativo
105,Claro,'5518991610539,/ 865205030587230,4.3,0,20,27/3/2019,10.33.60.154,'89550534120021302970,1.973.248,0.27,5/8/2019 08:38,Ativo
106,Claro,'5518991610327,/ 8648930326762078,4.3,0,20,16/4/2019,10.35.102.226,'89550534120021373286,1.847.745,1.51,5/8/2019 16:33,Ativo
107,Claro,'5518991604285,/ 864893031758960,4.3,0,20,8/4/2019,10.33.59.214,'89550534120021345433,169.769,3.02,5/8/2019 19:12,Ativo
108,Claro,'5518991592395,/ 864893033453050,4.3,0,20,2/5/2019,10.35.127.178,'89550534120023663593,1.759.586,2.4,5/8/2019 15:48,Ativo
109,Claro,'5518991585734,/ 864893031758780,4.3,0,20,16/4/2019,10.33.58.153,'89550534120021345722,1.850.661,1.48,5/8/2019 15:42,Ativo
110,Claro,'5518991578882,/ 864893031335170,4.3,0,20,7/4/2019,10.33.59.146,'89550534120021345938,1.826.592,1.72,5/8/2019 15:47,Ativo
111,Claro,'5518991574046,/ 864893031334950,4.3,0,20,7/4/2019,10.33.5.26,'89550534120021345276,1.713.781,2.85,5/8/2019 14:05,Ativo
112,Claro,'5518991572873,/ 3564300749673478,4.3,0,20,16/4/2019,10.35.214.229,'89550534120021373211,1.922.604,0.77,5/8/2019 21:24,Ativo
113,Claro,'5518991569749,/ 864893031715650,4.3,0,20,19/3/2019,10.33.60.143,'89550534120021302855,1.999.892,0,2/8/2019 17:20,Ativo
114,Claro,'5518991564588,/ 355126070874220,4.3,0,20,16/4/2019,10.33.58.113,'89550534120021345805,1.809.462,1.91,5/8/2019 21:00,Ativo
115,Claro,'5518991562150,/ 864893031321800,4.3,0,20,16/4/2019,10.33.59.111,'89550534120021345714,1.836.589,1.63,5/8/2019 15:46,Ativo
116,Claro,'5518991561893,/ 864893031717810,4.3,0,20,19/3/2019,10.33.60.145,'89550534120021302871,1.724.191,2.75,5/8/2019 21:03,Ativo
117,Claro,'5518991561237,/ 355126076622960,4.3,0,20,16/4/2019,10.33.50.28,'89550534120021345755,1.811.415,1.89,5/8/2019 21:04,Ativo
118,Claro,'5518991560171,/ 3553710297397101,4.3,0,20,16/4/2019,10.35.19.116,'89550534120021373161,20,0,12/6/2019 14:06,Ativo
119,Claro,'5518991560096,/ 864893032689270,4.3,0,20,6/5/2019,10.35.14.45,'89550534120023663122,1.882.808,1.17,5/8/2019 14:05,Ativo
120,Claro,'5518991548438,/ 8648930326893778,4.3,0,20,6/5/2019,10.35.83.204,'89550534120023663577,20,0,17/7/2019 13:22,Ativo
121,Claro,'5518991544879,/ 864893032688930,4.3,0,20,23/4/2019,10.35.174.105,'89550534120023663650,1.879.183,1.2,5/8/2019 15:45,Ativo
122,Claro,'5518991544532,/ 8648930326762378,4.3,0,20,16/4/2019,10.35.45.133,'89550534120021373294,1.947.329,0.53,5/8/2019 19:53,Ativo
123,Claro,'5518991544448,/ 8648930326917578,4.3,0,20,16/4/2019,10.35.147.5,'89550534120021373278,1.837.642,1.61,5/8/2019 14:05,Ativo
124,Claro,'5518991541557,/ 864893031327270,4.3,0,20,7/4/2019,10.33.50.18,'89550534120021345987,1.809.692,1.9,5/8/2019 18:27,Ativo
125,Claro,'5518991539818,/ 3551260776546178,4.3,0,20,27/3/2019,10.33.62.99,'89550534120021302244,175.559,2.44,5/8/2019 21:00,Ativo
126,Claro,'5518991534982,/ 355126076271820,4.3,0,20,12/4/2019,10.33.53.207,'89550534120021345060,1.803.663,1.96,5/8/2019 21:00,Ativo
127,Claro,'5518991532221,/ 355126077965540,4.3,0,20,16/4/2019,10.33.59.107,'89550534120021345664,1.820.605,1.79,5/8/2019 21:21,Ativo
128,Claro,'5518991531253,/ 8648930309436178,4.3,0,20,7/4/2019,10.33.59.151,'89550534120021345953,1.862.351,1.37,5/8/2019 15:43,Ativo
129,Claro,'5518991520051,/ 864893031717040,4.3,0,20,19/3/2019,10.33.63.121,'89550534120021302509,1.833.814,1.66,5/8/2019 14:04,Ativo
130,Claro,'5518991515953,/ 864893031716810,4.3,0,20,19/3/2019,10.33.60.144,'89550534120021302863,1.837.363,1.62,5/8/2019 15:47,Ativo
131,Claro,'5518991511603,/ 864893031717110,4.3,0,20,21/3/2019,10.33.63.109,'89550534120021302368,1.818.819,1.8,5/8/2019 18:31,Ativo
132,Claro,'5518991506694,/ 355126077019670,4.3,0,20,6/4/2019,10.33.59.102,'89550534120021345615,1.999.458,0.01,4/8/2019 07:54,Ativo
133,Claro,'5518991503221,/ 864893033451200,4.3,0,20,1/5/2019,10.35.79.168,'89550534120023663478,1.980.946,0.19,5/8/2019 04:27,Ativo
134,Claro,'5518991502941,/ 864893031335150,4.3,0,20,7/4/2019,10.33.37.145,'89550534120021345524,1.983.578,0.16,2/8/2019 10:38,Ativo
135,Claro,'5518991501056,/ 8648930326890578,4.3,0,20,1/5/2019,10.35.158.21,'89550534120023663379,1.829.087,1.7,5/8/2019 18:08,Ativo
136,Claro,'5518991500627,/ 8648930334536178,4.3,0,20,2/5/2019,10.35.152.65,'89550534120023663460,1.990.973,0.09,4/8/2019 11:03,Ativo
137,Claro,'5518991499990,/ 8648930326771178,4.3,0,20,16/4/2019,10.35.229.110,'89550534120021373310,1.852.717,1.47,5/8/2019 18:04,Ativo
138,Claro,'5518991495100,,4.3,0,20,27/3/2019,10.33.60.171,'89550534120021302541,20,0,12/3/2019 15:52,Ativo
139,Claro,'5518991490155,/ 8648930313349078,4.3,0,20,27/3/2019,10.33.60.179,'89550534120021303028,1.971.635,0.28,5/8/2019 17:10,Ativo
140,Claro,'5518991489909,/ 864893033452600,4.3,0,20,1/5/2019,10.35.237.15,'89550534120023663601,1.840.393,1.58,5/8/2019 15:44,Ativo
141,Claro,'5518991489382,/ 868683027069730,4.3,0,20,12/5/2019,10.35.85.254,'89550534120023663031,1.650.952,3.48,5/8/2019 14:06,Ativo
142,Claro,'5518991484548,/ 864893031335130,4.3,0,20,8/4/2019,10.33.53.216,'89550534120021345169,1.816.065,1.83,5/8/2019 14:05,Ativo
143,Claro,'5518991483560,/ 864893031716760,4.3,0,20,20/3/2019,10.33.60.194,'89550534120021302764,1.986.972,0.13,3/8/2019 18:56,Ativo
144,Claro,'5518991473058,/ 864893033451380,4.3,0,20,23/4/2019,10.35.178.23,'89550534120023663791,1.738.414,2.62,5/8/2019 21:31,Ativo
145,Claro,'5518991472188,/ 864893032689060,4.3,0,20,19/4/2019,10.35.200.166,'89550534120023663981,187.226,1.27,5/8/2019 18:28,Ativo
146,Claro,'5518991470689,/ 355371020895620,4.3,0,20,26/3/2019,10.33.60.152,'89550534120021302954,1.934.089,0.66,5/8/2019 17:00,Ativo
147,Claro,'5518991470624,/ 864893030943850,4.3,0,20,27/3/2019,10.33.63.103,'89550534120021302301,1.813.758,1.85,5/8/2019 17:24,Ativo
148,Claro,'5518991470507,/ 865205030865020,4.3,0,20,16/4/2019,10.33.58.124,'89550534120021345672,189.612,1.04,5/8/2019 21:01,Ativo
149,Claro,'5518991469759,/ 864893032689350,4.3,0,20,20/4/2019,10.35.59.159,'89550534120023663841,1.885.616,1.14,5/8/2019 20:49,Ativo
150,Claro,'5518991468725,/ 3564300714626778,4.3,0,20,8/4/2019,10.33.59.161,'89550534120021345219,1.941.646,0.58,5/8/2019 07:45,Ativo
151,Claro,'5518991462608,/ 864893033453640,4.3,0,20,20/4/2019,10.35.86.7,'89550534120023663213,1.822.348,1.77,5/8/2019 14:04,Ativo
152,Claro,'5518991460344,/ 864893031715930,4.3,0,20,23/3/2019,10.33.63.112,'89550534120021302400,1.845.358,1.54,5/8/2019 14:05,Ativo
153,Claro,'5518991458582,/ 864893031759260,4.3,0,20,7/4/2019,10.33.59.170,'89550534120021345250,1.861.279,1.38,5/8/2019 20:43,Ativo
154,Claro,'5518991456243,/ 355126077014220,4.3,0,20,16/4/2019,10.33.59.119,'89550534120021345797,1.925.585,0.74,5/8/2019 19:01,Ativo
155,Claro,'5518991444608,/ 864893031327060,4.3,0,20,7/4/2019,10.33.59.173,'89550534120021345268,1.864.647,1.34,5/8/2019 15:44,Ativo
156,Claro,'5518991442878,/ 864893032689670,4.3,0,20,22/4/2019,10.35.91.67,'89550534120023663742,1.842.368,1.56,5/8/2019 15:44,Ativo
157,Claro,'5518991442736,/ 3551260790112478,4.3,0,20,16/4/2019,10.33.53.212,'89550534120021345128,20,0,20/4/2019 11:00,Ativo
158,Claro,'5518991440168,/ 864893031327240,4.3,0,20,27/3/2019,10.33.63.104,'89550534120021302319,1.861.243,1.38,5/8/2019 15:44,Ativo
159,Claro,'5518991439803,/ 8648930317176278,4.3,0,20,25/3/2019,10.33.63.105,'89550534120021302624,1.851.234,1.48,5/8/2019 15:47,Ativo
160,Claro,'5518991438547,/ 864893031716680,4.3,0,20,26/3/2019,10.33.63.113,'89550534120021302418,1.856.349,1.42,5/8/2019 19:20,Ativo
161,Claro,'5518991438058,/ 355126079393160,4.3,0,20,5/4/2019,10.33.53.208,'89550534120021345078,1.819.022,1.81,5/8/2019 21:04,Ativo
162,Claro,'5518991430014,/ 3551260750806378,4.3,0,20,7/5/2019,10.35.78.208,'89550534120023663049,181.656,1.83,5/8/2019 21:00,Ativo
163,Claro,'5518991429699,/ 864893031335330,4.3,0,20,8/4/2019,10.33.5.235,'89550534120021345888,1.838.478,1.61,5/8/2019 19:34,Ativo
164,Claro,'5518991426415,/ 8648930317175878,4.3,0,20,19/3/2019,10.33.63.138,'89550534120021302053,1.659.256,3.4,5/8/2019 18:40,Ativo
165,Claro,'5518991424568,/ 864893032689340,4.3,0,20,19/4/2019,10.35.183.118,'89550534120023663627,1.852.133,1.46,5/8/2019 15:03,Ativo
166,Claro,'5518991422127,/ 864893032691010,4.3,0,20,20/4/2019,10.35.95.160,'89550534120023663205,188.412,1.15,5/8/2019 20:05,Ativo
167,Claro,'5518991421022,/ 864893032689570,4.3,0,20,19/4/2019,10.35.202.60,'89550534120023663502,183.614,1.63,5/8/2019 16:26,Ativo
168,Claro,'5518991419979,/ 8648930329614678,4.3,0,20,16/4/2019,10.33.58.200,'89550534120021345300,1.797.679,2.02,5/8/2019 21:12,Ativo
169,Claro,'5518991417072,/ 355126072740070,4.3,0,20,16/4/2019,10.33.19.138,'89550534120021345201,1.812.242,1.88,5/8/2019 21:00,Ativo
170,Claro,'5518991415504,/ 3564300748718578,4.3,0,20,16/4/2019,10.35.240.126,'89550534120021373146,1.924.594,0.75,5/8/2019 20:42,Ativo
171,Claro,'5518991415026,/ 864893032964770,4.3,0,20,12/4/2019,10.33.53.205,'89550534120021345045,20,0,30/7/2019 17:32,Ativo
172,Claro,'5518991414224,/ 8648930313272978,4.3,0,20,8/4/2019,10.33.2.190,'89550534120021345482,1.853.887,1.45,5/8/2019 16:15,Ativo
173,Claro,'5518991413343,/ 864893031335310,4.3,0,20,16/4/2019,10.33.59.113,'89550534120021345730,1.847.544,1.52,5/8/2019 14:04,Ativo
